company_id,company_name,industry,employee_count,created_at
co_001,Acme Segment 1,Education,1200,2026-01-13
co_002,Acme Segment 2,Retail,240,2025-03-20
co_003,Acme Segment 3,Fintech,2500,2025-09-29
co_004,Acme Segment 4,SaaS,120,2025-12-02
co_005,Acme Segment 5,Healthcare,120,2026-01-29
co_006,Acme Segment 6,Education,55,2025-11-02
co_007,Acme Segment 7,SaaS,240,2025-04-24
co_008,Acme Segment 8,SaaS,2500,2025-12-30
co_009,Acme Segment 9,Retail,510,2025-10-09
co_010,Acme Segment 10,SaaS,55,2025-08-26
co_011,Acme Segment 11,Healthcare,55,2026-01-01
co_012,Acme Segment 12,Healthcare,240,2026-01-16
co_013,Acme Segment 13,Healthcare,120,2025-04-24
co_014,Acme Segment 14,Healthcare,2500,2025-01-27
co_015,Acme Segment 15,Fintech,55,2025-08-02
co_016,Acme Segment 16,SaaS,120,2025-04-10
co_017,Acme Segment 17,Retail,120,2025-10-03
co_018,Acme Segment 18,Education,510,2025-11-30
co_019,Acme Segment 19,Fintech,240,2026-02-13
co_020,Acme Segment 20,Fintech,1200,2025-01-22
co_021,Acme Segment 21,SaaS,2500,2025-09-19
co_022,Acme Segment 22,Retail,510,2025-10-26
co_023,Acme Segment 23,Education,1200,2025-05-02
co_024,Acme Segment 24,Healthcare,55,2025-01-27
co_025,Acme Segment 25,Education,1200,2026-01-27
co_026,Acme Segment 26,Healthcare,2500,2025-11-20
co_027,Acme Segment 27,Healthcare,55,2025-12-25
co_028,Acme Segment 28,Retail,120,2025-10-31
co_029,Acme Segment 29,Fintech,240,2025-05-08
co_030,Acme Segment 30,Healthcare,240,2025-08-15
