deal_id,company_id,stage,amount_usd,close_date
dl_001_0,co_001,prospecting,86792,2026-01-22
dl_002_0,co_002,closed_lost,31522,2026-06-03
dl_002_1,co_002,closed_won,86047,2026-03-06
dl_003_0,co_003,closed_lost,57878,2026-02-01
dl_003_1,co_003,qualified,18717,2026-05-25
dl_004_0,co_004,closed_won,26684,2026-05-28
dl_004_1,co_004,closed_lost,22664,2026-04-26
dl_004_2,co_004,closed_won,32577,2026-05-28
dl_005_0,co_005,closed_lost,39883,2026-01-24
dl_005_1,co_005,prospecting,34248,2026-07-19
dl_005_2,co_005,closed_won,10747,2026-04-06
dl_006_0,co_006,negotiation,63174,2026-08-21
dl_006_1,co_006,closed_won,15080,2026-05-11
dl_007_0,co_007,closed_lost,42207,2026-02-26
dl_008_0,co_008,closed_lost,44829,2026-02-18
dl_008_1,co_008,prospecting,47186,2026-07-18
dl_009_0,co_009,negotiation,69534,2026-01-05
dl_009_1,co_009,prospecting,70114,2026-05-17
dl_009_2,co_009,prospecting,11494,2026-06-10
dl_010_0,co_010,closed_won,32777,2026-06-08
dl_011_0,co_011,qualified,57213,2026-05-06
dl_011_1,co_011,qualified,67788,2026-05-14
dl_012_0,co_012,closed_won,83945,2026-05-28
dl_012_1,co_012,qualified,44737,2026-01-22
dl_013_0,co_013,closed_lost,38155,2026-05-11
dl_014_0,co_014,closed_lost,78132,2026-02-15
dl_014_1,co_014,prospecting,9443,2026-07-17
dl_015_0,co_015,closed_lost,35079,2026-05-31
dl_016_0,co_016,negotiation,66498,2026-08-27
dl_016_1,co_016,closed_lost,27363,2026-02-14
dl_017_0,co_017,negotiation,18616,2026-07-11
dl_017_1,co_017,closed_lost,64124,2026-08-12
dl_017_2,co_017,closed_won,77495,2026-05-26
dl_018_0,co_018,qualified,60859,2026-05-01
dl_018_1,co_018,negotiation,82633,2026-03-01
dl_018_2,co_018,closed_lost,79235,2026-07-26
dl_019_0,co_019,qualified,57254,2026-06-02
dl_020_0,co_020,qualified,11568,2026-03-07
dl_020_1,co_020,closed_won,49237,2026-03-21
dl_021_0,co_021,negotiation,22164,2026-03-07
dl_021_1,co_021,closed_won,48896,2026-07-14
dl_022_0,co_022,negotiation,34290,2026-05-12
dl_023_0,co_023,negotiation,31511,2026-04-06
dl_023_1,co_023,closed_won,46926,2026-07-20
dl_024_0,co_024,prospecting,41302,2026-01-05
dl_025_0,co_025,closed_lost,85073,2026-06-28
dl_025_1,co_025,negotiation,60391,2026-03-03
dl_026_0,co_026,closed_lost,42476,2026-03-14
dl_026_1,co_026,closed_won,36820,2026-03-02
dl_026_2,co_026,closed_lost,81008,2026-03-15
dl_027_0,co_027,closed_lost,30673,2026-08-10
dl_028_0,co_028,qualified,22367,2026-08-17
dl_028_1,co_028,prospecting,63525,2026-01-11
dl_029_0,co_029,qualified,46097,2026-06-26
dl_029_1,co_029,prospecting,8149,2026-01-28
dl_030_0,co_030,closed_won,50884,2026-03-11
dl_030_1,co_030,prospecting,35453,2026-07-26
