ticket_id,company_id,priority,status,created_at
tk_001_0,co_001,medium,open,2026-06-03
tk_001_1,co_001,high,closed,2026-07-04
tk_001_2,co_001,high,open,2026-07-11
tk_001_3,co_001,high,open,2026-06-24
tk_001_4,co_001,medium,closed,2026-07-21
tk_002_0,co_002,high,open,2026-06-08
tk_002_1,co_002,high,open,2026-07-14
tk_002_2,co_002,medium,closed,2026-07-01
tk_002_3,co_002,medium,open,2026-06-02
tk_004_0,co_004,medium,pending,2026-07-31
tk_004_1,co_004,high,open,2026-06-18
tk_005_0,co_005,low,closed,2026-07-23
tk_005_1,co_005,medium,open,2026-06-16
tk_006_0,co_006,high,pending,2026-06-30
tk_006_1,co_006,low,closed,2026-07-03
tk_006_2,co_006,medium,open,2026-06-17
tk_008_0,co_008,high,open,2026-06-08
tk_008_1,co_008,high,pending,2026-07-20
tk_008_2,co_008,high,open,2026-06-05
tk_009_0,co_009,medium,open,2026-06-16
tk_010_0,co_010,low,closed,2026-07-21
tk_010_1,co_010,medium,closed,2026-07-19
tk_010_2,co_010,low,pending,2026-07-21
tk_010_3,co_010,medium,closed,2026-06-13
tk_012_0,co_012,high,closed,2026-07-22
tk_012_1,co_012,high,open,2026-06-15
tk_013_0,co_013,high,closed,2026-06-08
tk_013_1,co_013,low,closed,2026-06-19
tk_013_2,co_013,high,open,2026-06-13
tk_014_0,co_014,high,pending,2026-07-09
tk_014_1,co_014,medium,open,2026-06-22
tk_015_0,co_015,low,closed,2026-07-19
tk_015_1,co_015,low,pending,2026-07-19
tk_017_0,co_017,medium,open,2026-07-23
tk_019_0,co_019,medium,open,2026-06-02
tk_019_1,co_019,low,open,2026-06-16
tk_019_2,co_019,low,open,2026-07-06
tk_019_3,co_019,low,closed,2026-06-30
tk_020_0,co_020,medium,pending,2026-06-06
tk_020_1,co_020,medium,open,2026-06-25
tk_020_2,co_020,low,open,2026-07-08
tk_020_3,co_020,medium,pending,2026-06-15
tk_021_0,co_021,medium,closed,2026-07-01
tk_022_0,co_022,medium,open,2026-07-02
tk_022_1,co_022,high,open,2026-06-30
tk_023_0,co_023,medium,open,2026-06-16
tk_023_1,co_023,low,closed,2026-07-28
tk_023_2,co_023,low,open,2026-07-02
tk_023_3,co_023,low,open,2026-07-15
tk_025_0,co_025,low,closed,2026-07-04
tk_025_1,co_025,low,open,2026-07-31
tk_025_2,co_025,low,pending,2026-07-26
tk_026_0,co_026,medium,closed,2026-07-07
tk_026_1,co_026,medium,closed,2026-06-13
tk_026_2,co_026,medium,closed,2026-07-21
tk_026_3,co_026,medium,open,2026-07-08
tk_026_4,co_026,high,open,2026-07-28
tk_027_0,co_027,low,closed,2026-06-08
tk_027_1,co_027,high,open,2026-07-02
tk_027_2,co_027,high,pending,2026-06-11
tk_027_3,co_027,low,closed,2026-06-19
tk_027_4,co_027,high,closed,2026-06-01
tk_028_0,co_028,medium,closed,2026-06-18
tk_028_1,co_028,low,open,2026-06-03
tk_028_2,co_028,low,closed,2026-06-27
tk_028_3,co_028,medium,pending,2026-07-20
tk_028_4,co_028,high,pending,2026-06-10
tk_029_0,co_029,low,open,2026-07-14
tk_029_1,co_029,medium,closed,2026-07-07
tk_029_2,co_029,low,pending,2026-06-21
tk_029_3,co_029,medium,closed,2026-06-10
