company_id,company_name,industry,contacts,open_tickets,closed_won_revenue_usd
co_001,Acme Segment 1,Education,2,3,0
co_002,Acme Segment 2,Retail,2,3,86047
co_003,Acme Segment 3,Fintech,3,0,0
co_004,Acme Segment 4,SaaS,4,2,59261
co_005,Acme Segment 5,Healthcare,1,1,10747
co_006,Acme Segment 6,Education,3,2,15080
co_007,Acme Segment 7,SaaS,4,0,0
co_008,Acme Segment 8,SaaS,4,3,0
co_009,Acme Segment 9,Retail,4,1,0
co_010,Acme Segment 10,SaaS,4,1,32777
co_011,Acme Segment 11,Healthcare,1,0,0
co_012,Acme Segment 12,Healthcare,1,1,83945
co_013,Acme Segment 13,Healthcare,1,1,0
co_014,Acme Segment 14,Healthcare,2,2,0
co_015,Acme Segment 15,Fintech,2,1,0
co_016,Acme Segment 16,SaaS,1,0,0
co_017,Acme Segment 17,Retail,2,1,77495
co_018,Acme Segment 18,Education,4,0,0
co_019,Acme Segment 19,Fintech,2,3,0
co_020,Acme Segment 20,Fintech,2,4,49237
co_021,Acme Segment 21,SaaS,3,0,48896
co_022,Acme Segment 22,Retail,1,2,0
co_023,Acme Segment 23,Education,2,3,46926
co_024,Acme Segment 24,Healthcare,1,0,0
co_025,Acme Segment 25,Education,1,2,0
co_026,Acme Segment 26,Healthcare,4,2,36820
co_027,Acme Segment 27,Healthcare,2,2,0
co_028,Acme Segment 28,Retail,1,3,0
co_029,Acme Segment 29,Fintech,1,2,0
co_030,Acme Segment 30,Healthcare,4,0,50884
