record_id,account_id,event_count,loaded_at
r_001,acct_018,242,2026-08-23
r_002,acct_002,36,2026-08-25
r_003,acct_012,66,2026-08-24
r_004,acct_018,132,2026-08-22
r_005,acct_015,57,2026-08-24
r_006,acct_004,232,2026-08-23
r_007,,6,2026-08-25
r_008,acct_017,51,2026-08-24
r_009,acct_010,41,2026-08-22
r_010,acct_003,23,2026-08-21
r_011,acct_018,273,2026-08-20
r_012,acct_003,191,2026-08-24
r_013,acct_019,51,2026-08-20
r_014,acct_012,222,2026-08-21
r_015,acct_004,82,2026-08-22
r_016,acct_004,29,2026-08-25
r_017,acct_015,8,2026-08-23
r_018,acct_013,92,2026-08-23
r_019,acct_016,208,2026-08-20
r_020,acct_003,285,2026-08-25
r_021,acct_011,115,2026-08-20
r_022,acct_016,172,2026-08-21
r_023,acct_004,230,2026-08-23
r_024,acct_013,109,2026-08-25
r_025,acct_011,291,2026-08-24
r_026,acct_016,223,2026-08-23
r_027,acct_020,36,2026-08-24
r_028,acct_019,183,2026-08-24
r_029,acct_014,263,2026-08-20
r_030,acct_003,33,2026-08-21
r_031,acct_001,259,2026-08-20
r_032,acct_016,253,2026-08-23
r_033,acct_004,186,2026-08-21
r_034,acct_005,66,2026-08-20
r_035,acct_012,88,2026-08-24
r_036,acct_011,300,2026-08-23
r_037,acct_004,84,2026-08-21
r_038,acct_015,155,2026-08-20
r_039,acct_003,51,2026-08-25
r_040,acct_004,135,2026-08-20
r_041,acct_004,69,2026-08-25
r_042,acct_019,57,2026-08-25
r_043,acct_004,80,2026-08-20
r_044,acct_020,40,2026-08-25
r_045,acct_007,197,2026-08-21
r_046,acct_004,261,2026-08-22
r_047,acct_014,223,2026-08-20
r_048,acct_018,173,2026-08-20
r_049,acct_020,230,2026-08-21
r_050,acct_017,244,2026-08-20
r_001,acct_018,242,2026-08-23
