deal_id,account_id,currency,amount_native,close_date,status
deal_0001,acct_032,EUR,75608,2026-01-20,closed_won
deal_0002,acct_031,EUR,13761,2026-02-05,closed_won
deal_0003,acct_018,USD,81136,2026-05-19,closed_won
deal_0004,acct_010,USD,20892,2026-07-31,closed_won
deal_0005,acct_010,GBP,10578,2026-07-10,closed_won
deal_0006,acct_019,USD,102670,2026-07-14,closed_won
deal_0007,acct_001,GBP,51202,2026-01-03,open
deal_0008,acct_027,USD,114410,2026-06-19,closed_lost
deal_0009,acct_012,EUR,40018,2026-03-28,open
deal_0010,acct_013,EUR,55595,2026-04-23,open
deal_0011,acct_001,EUR,84442,2026-07-08,closed_won
deal_0012,acct_034,EUR,81555,2026-05-22,closed_won
deal_0013,acct_040,USD,118559,2026-01-24,closed_won
deal_0014,acct_030,GBP,81224,2026-03-01,closed_won
deal_0015,acct_020,GBP,108214,2026-05-18,closed_lost
deal_0016,acct_004,USD,79961,2026-07-28,open
deal_0017,acct_011,GBP,19563,2026-06-12,closed_won
deal_0018,acct_001,GBP,11491,2026-05-10,closed_won
deal_0019,acct_025,USD,18356,2026-06-14,closed_won
deal_0020,acct_016,EUR,77152,2026-03-21,closed_won
deal_0021,acct_009,EUR,78197,2026-04-06,closed_won
deal_0022,acct_038,EUR,100075,2026-04-04,closed_lost
deal_0023,acct_006,USD,79729,2026-02-12,closed_lost
deal_0024,acct_010,EUR,60753,2026-01-07,closed_won
deal_0025,acct_009,USD,24582,2026-07-28,closed_won
deal_0026,acct_032,GBP,83015,2026-03-22,open
deal_0027,acct_017,GBP,50056,2026-02-09,closed_won
deal_0028,acct_013,USD,70467,2026-04-28,closed_won
deal_0029,acct_024,EUR,38640,2026-02-22,open
deal_0030,acct_038,USD,17265,2026-01-24,closed_won
deal_0031,acct_014,GBP,33541,2026-01-15,open
deal_0032,acct_011,GBP,116386,2026-03-01,closed_won
deal_0033,acct_028,EUR,110840,2026-08-27,closed_lost
deal_0034,acct_036,USD,91765,2026-07-18,closed_lost
deal_0035,acct_011,EUR,20679,2026-06-13,closed_won
deal_0036,acct_039,GBP,95177,2026-05-26,closed_lost
deal_0037,acct_025,GBP,115847,2026-08-05,closed_won
deal_0038,acct_024,EUR,25032,2026-02-01,open
deal_0039,acct_023,GBP,63378,2026-06-22,closed_lost
deal_0040,acct_039,USD,38950,2026-03-31,closed_won
deal_0041,acct_001,EUR,114261,2026-08-03,closed_won
deal_0042,acct_028,GBP,72443,2026-03-17,closed_won
deal_0043,acct_019,EUR,16075,2026-01-06,closed_won
deal_0044,acct_032,USD,75316,2026-07-16,open
deal_0045,acct_031,USD,118348,2026-05-21,open
deal_0046,acct_008,GBP,34740,2026-08-19,open
deal_0047,acct_018,USD,88811,2026-07-13,closed_won
deal_0048,acct_001,EUR,47999,2026-05-29,closed_won
deal_0049,acct_029,USD,35040,2026-02-26,closed_won
deal_0050,acct_016,EUR,37163,2026-06-01,closed_won
deal_0051,acct_011,USD,53940,2026-05-24,closed_won
deal_0052,acct_006,GBP,111704,2026-07-19,closed_won
deal_0053,acct_028,GBP,27579,2026-03-30,closed_won
deal_0054,acct_021,GBP,8861,2026-04-14,closed_won
deal_0055,acct_025,GBP,58080,2026-07-17,closed_lost
deal_0056,acct_028,EUR,75180,2026-04-09,closed_won
deal_0057,acct_028,USD,97571,2026-06-29,closed_won
deal_0058,acct_023,EUR,116606,2026-07-15,open
deal_0059,acct_004,USD,23505,2026-07-21,open
deal_0060,acct_037,GBP,77892,2026-04-14,closed_won
deal_0061,acct_020,USD,110743,2026-04-25,open
deal_0062,acct_039,EUR,55646,2026-08-25,closed_won
deal_0063,acct_015,EUR,63226,2026-07-27,closed_won
deal_0064,acct_031,USD,48726,2026-08-02,closed_lost
deal_0065,acct_034,GBP,108037,2026-02-06,closed_lost
deal_0066,acct_021,GBP,37148,2026-08-14,open
deal_0067,acct_034,GBP,15244,2026-04-25,closed_won
deal_0068,acct_014,GBP,99399,2026-05-09,closed_lost
deal_0069,acct_008,EUR,39618,2026-03-23,closed_lost
deal_0070,acct_029,GBP,70884,2026-06-14,open
deal_0071,acct_036,GBP,79662,2026-07-13,closed_won
deal_0072,acct_040,USD,40731,2026-08-02,closed_lost
deal_0073,acct_011,EUR,59911,2026-06-22,closed_won
deal_0074,acct_026,USD,110827,2026-04-30,closed_won
deal_0075,acct_038,USD,83145,2026-03-26,open
deal_0076,acct_006,EUR,45765,2026-01-12,open
deal_0077,acct_032,EUR,72507,2026-01-17,open
deal_0078,acct_021,EUR,48655,2026-07-17,closed_won
deal_0079,acct_035,USD,10633,2026-03-20,closed_won
deal_0080,acct_036,GBP,23116,2026-06-17,open
deal_0081,acct_019,GBP,33627,2026-06-01,closed_won
deal_0082,acct_039,EUR,71280,2026-08-16,open
deal_0083,acct_020,EUR,97925,2026-04-20,open
deal_0084,acct_022,USD,53523,2026-01-10,closed_won
deal_0085,acct_032,USD,104664,2026-02-25,closed_lost
deal_0086,acct_029,EUR,23134,2026-05-14,closed_won
deal_0087,acct_028,USD,117758,2026-03-11,closed_won
deal_0088,acct_035,USD,50314,2026-07-29,closed_lost
deal_0089,acct_008,USD,42949,2026-05-30,closed_lost
deal_0090,acct_019,GBP,26979,2026-02-05,open
deal_0091,acct_027,EUR,33240,2026-07-13,closed_won
deal_0092,acct_016,GBP,83854,2026-07-16,closed_won
