deal_id,account_id,currency,amount_native,close_date,status,amount_usd
deal_0001,acct_032,EUR,75608,2026-01-20,closed_won,82412.72
deal_0002,acct_031,EUR,13761,2026-02-05,closed_won,14999.49
deal_0003,acct_018,USD,81136,2026-05-19,closed_won,81136.0
deal_0004,acct_010,USD,20892,2026-07-31,closed_won,20892.0
deal_0005,acct_010,GBP,10578,2026-07-10,closed_won,13434.06
deal_0006,acct_019,USD,102670,2026-07-14,closed_won,102670.0
deal_0011,acct_001,EUR,84442,2026-07-08,closed_won,92041.78
deal_0012,acct_034,EUR,81555,2026-05-22,closed_won,88894.95
deal_0013,acct_040,USD,118559,2026-01-24,closed_won,118559.0
deal_0014,acct_030,GBP,81224,2026-03-01,closed_won,103154.48
deal_0017,acct_011,GBP,19563,2026-06-12,closed_won,24845.01
deal_0018,acct_001,GBP,11491,2026-05-10,closed_won,14593.57
deal_0019,acct_025,USD,18356,2026-06-14,closed_won,18356.0
deal_0020,acct_016,EUR,77152,2026-03-21,closed_won,84095.68
deal_0021,acct_009,EUR,78197,2026-04-06,closed_won,85234.73
deal_0024,acct_010,EUR,60753,2026-01-07,closed_won,66220.77
deal_0025,acct_009,USD,24582,2026-07-28,closed_won,24582.0
deal_0027,acct_017,GBP,50056,2026-02-09,closed_won,63571.12
deal_0028,acct_013,USD,70467,2026-04-28,closed_won,70467.0
deal_0030,acct_038,USD,17265,2026-01-24,closed_won,17265.0
deal_0032,acct_011,GBP,116386,2026-03-01,closed_won,147810.22
deal_0035,acct_011,EUR,20679,2026-06-13,closed_won,22540.11
deal_0037,acct_025,GBP,115847,2026-08-05,closed_won,147125.69
deal_0040,acct_039,USD,38950,2026-03-31,closed_won,38950.0
deal_0041,acct_001,EUR,114261,2026-08-03,closed_won,124544.49
deal_0042,acct_028,GBP,72443,2026-03-17,closed_won,92002.61
deal_0043,acct_019,EUR,16075,2026-01-06,closed_won,17521.75
deal_0047,acct_018,USD,88811,2026-07-13,closed_won,88811.0
deal_0048,acct_001,EUR,47999,2026-05-29,closed_won,52318.91
deal_0049,acct_029,USD,35040,2026-02-26,closed_won,35040.0
deal_0050,acct_016,EUR,37163,2026-06-01,closed_won,40507.67
deal_0051,acct_011,USD,53940,2026-05-24,closed_won,53940.0
deal_0052,acct_006,GBP,111704,2026-07-19,closed_won,141864.08
deal_0053,acct_028,GBP,27579,2026-03-30,closed_won,35025.33
deal_0054,acct_021,GBP,8861,2026-04-14,closed_won,11253.47
deal_0056,acct_028,EUR,75180,2026-04-09,closed_won,81946.2
deal_0057,acct_028,USD,97571,2026-06-29,closed_won,97571.0
deal_0060,acct_037,GBP,77892,2026-04-14,closed_won,98922.84
deal_0062,acct_039,EUR,55646,2026-08-25,closed_won,60654.14
deal_0063,acct_015,EUR,63226,2026-07-27,closed_won,68916.34
deal_0067,acct_034,GBP,15244,2026-04-25,closed_won,19359.88
deal_0071,acct_036,GBP,79662,2026-07-13,closed_won,101170.74
deal_0073,acct_011,EUR,59911,2026-06-22,closed_won,65302.99
deal_0074,acct_026,USD,110827,2026-04-30,closed_won,110827.0
deal_0078,acct_021,EUR,48655,2026-07-17,closed_won,53033.95
deal_0079,acct_035,USD,10633,2026-03-20,closed_won,10633.0
deal_0081,acct_019,GBP,33627,2026-06-01,closed_won,42706.29
deal_0084,acct_022,USD,53523,2026-01-10,closed_won,53523.0
deal_0086,acct_029,EUR,23134,2026-05-14,closed_won,25216.06
deal_0087,acct_028,USD,117758,2026-03-11,closed_won,117758.0
deal_0091,acct_027,EUR,33240,2026-07-13,closed_won,36231.6
deal_0092,acct_016,GBP,83854,2026-07-16,closed_won,106494.58
deal_0093,acct_032,GBP,50237,2026-01-18,closed_won,63800.99
deal_0094,acct_001,EUR,45084,2026-02-11,closed_won,49141.56
deal_0099,acct_010,USD,86327,2026-06-26,closed_won,86327.0
deal_0100,acct_003,USD,30708,2026-05-21,closed_won,30708.0
