account_id,weekly_active_users,open_support_tickets,avg_csat,days_to_renewal,arr_usd,health_score,segment
acct_001,267,10,2.62,20,61475,5,at_risk
acct_002,417,3,3.9,104,132954,78,healthy
acct_003,723,2,2.9,89,104332,94,healthy
acct_004,168,0,3.37,170,23798,73,healthy
acct_005,953,0,2.99,125,135877,100,healthy
acct_006,76,1,4.53,143,80314,71,healthy
acct_007,465,12,3.69,72,53221,31,at_risk
acct_008,453,2,2.84,78,15790,70,healthy
acct_009,192,1,4.69,109,104737,79,healthy
acct_010,361,11,4.4,41,134683,32,at_risk
acct_011,528,7,3.36,165,53404,67,watch
acct_012,815,3,4.23,141,112025,100,healthy
acct_013,838,8,4.11,64,29119,86,healthy
acct_014,849,9,3.71,112,28666,82,healthy
acct_015,34,6,4.73,116,13468,42,at_risk
acct_016,269,12,2.68,134,122875,9,at_risk
acct_017,869,6,2.63,14,24076,75,healthy
acct_018,779,0,2.86,21,134482,100,healthy
acct_019,73,2,4.05,103,44875,56,watch
acct_020,563,10,3.94,122,79497,57,watch
acct_021,177,12,3.41,5,117744,0,at_risk
acct_022,433,7,3.12,147,38871,54,watch
acct_023,627,6,4.17,134,147738,87,healthy
acct_024,659,5,2.73,159,111974,80,healthy
acct_025,995,2,3.49,21,110739,100,healthy
acct_026,347,10,3.41,147,5656,36,at_risk
acct_027,313,6,3.2,115,16093,47,watch
acct_028,539,5,3.85,75,75327,74,healthy
acct_029,754,10,4.99,71,5622,80,healthy
acct_030,290,1,3.66,50,139081,68,watch
acct_031,781,1,4.54,52,68997,100,healthy
acct_032,451,7,4.86,19,61396,63,watch
acct_033,830,8,4.55,107,149891,95,healthy
acct_034,639,2,4.77,33,54690,100,healthy
acct_035,40,12,4.21,17,23328,0,at_risk
acct_036,502,1,3.64,132,96187,95,healthy
acct_037,456,6,4.81,151,88760,82,healthy
acct_038,539,5,3.67,162,5245,81,healthy
acct_039,859,11,4.36,152,90934,85,healthy
acct_040,495,2,4.76,69,60983,96,healthy
acct_041,313,10,3.43,73,66315,25,at_risk
acct_042,173,9,3.49,75,131018,19,at_risk
acct_043,410,4,4.83,92,21617,82,healthy
acct_044,822,8,4.02,102,122587,88,healthy
acct_045,691,12,4.96,61,121986,63,watch
acct_046,145,5,3.26,46,101346,31,at_risk
acct_047,479,12,3.65,104,5156,35,at_risk
acct_048,587,4,3.82,174,101562,94,healthy
acct_049,566,1,2.59,63,75472,80,healthy
acct_050,27,5,3.84,158,129880,40,at_risk
acct_051,838,9,3.61,62,85352,75,healthy
acct_052,443,2,3.14,178,52157,84,healthy
acct_053,624,0,3.38,91,145245,100,healthy
acct_054,562,11,4.34,115,59706,56,watch
acct_055,896,6,2.88,92,133647,89,healthy
acct_056,857,2,3.16,167,140557,100,healthy
acct_057,657,4,2.94,50,128963,75,healthy
acct_058,295,1,3.39,139,145223,75,healthy
acct_059,625,4,4.83,155,25635,100,healthy
acct_060,623,0,3.73,107,107883,100,healthy
acct_061,450,8,3.67,110,85965,53,watch
acct_062,549,9,3.86,91,71797,57,watch
acct_063,465,10,4.39,52,13957,47,watch
acct_064,363,0,4.09,169,79734,98,healthy
acct_065,880,4,4.69,23,61441,100,healthy
acct_066,611,9,4.75,96,89286,73,healthy
acct_067,923,7,3.84,156,5754,100,healthy
acct_068,543,5,2.54,143,39153,66,watch
acct_069,552,6,4.21,103,79378,77,healthy
acct_070,959,5,2.82,61,87134,95,healthy
acct_071,486,7,3.89,91,38899,62,watch
acct_072,242,7,4.92,131,119760,58,watch
acct_073,2,5,4.16,67,75066,32,at_risk
acct_074,28,7,3.1,53,31514,10,at_risk
acct_075,848,4,4.88,149,110110,100,healthy
acct_076,881,4,2.6,165,146182,100,healthy
acct_077,558,2,4.12,164,96773,100,healthy
acct_078,833,11,2.67,132,103296,61,watch
acct_079,171,3,2.99,14,75554,36,at_risk
acct_080,954,6,4.06,128,88286,100,healthy
